file,track_index,track_name,channel,instrument,all_program_changes,notes_count,lowest_note,highest_note,duration_ticks,tempos,signatures,keys,format,resolution,total_tracks,total_duration_ticks
"H548.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",94,57,74,20640,"80","4/4|6/4|4/4","",1,240,5,20640
"H548.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",89,50,62,20640,"80","4/4|6/4|4/4","",1,240,5,20640
"H548.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",95,41,60,20640,"80","4/4|6/4|4/4","",1,240,5,20640
"H616.mid",0,"",-1,,"",0,,,24720,"109","3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|6/4","",1,240,5,25968
"H616.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",89,62,77,25968,"109","3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|6/4","",1,240,5,25968
"H616.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",85,57,69,25968,"109","3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|6/4","",1,240,5,25968
"H616.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",91,50,65,25968,"109","3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|6/4","",1,240,5,25968
"H616.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",74,43,57,25968,"109","3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|5/4|3/4|4/4|6/4","",1,240,5,25968
"H170.mid",0,"",-1,,"",0,,,4608,"104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89","1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4","",1,96,5,4675
"H170.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",39,62,75,4675,"104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89","1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4","",1,96,5,4675
"H170.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",36,58,65,4675,"104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89","1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4","",1,96,5,4675
"H170.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",34,51,58,4675,"104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89","1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4","",1,96,5,4675
"H170.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",33,44,58,4675,"104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89|104|102|100|96|93|89","1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4|1/4|3/4","",1,96,5,4675
"H164.mid",0,"",-1,,"",0,,,5856,"107|107|107|107|107","1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4","",1,96,5,6201
"H164.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",50,64,76,6201,"107|107|107|107|107","1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4","",1,96,5,6201
"H164.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",47,61,68,6201,"107|107|107|107|107","1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4","",1,96,5,6201
"H164.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",50,54,64,6201,"107|107|107|107|107","1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4","",1,96,5,6201
"H164.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",47,42,59,6201,"107|107|107|107|107","1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4|1/4|3/4|6/4|4/4","",1,96,5,6201
"H602.mid",0,"",-1,,"",0,,,5856,"63|63|63|63|63","1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4","",1,96,5,6144
"H602.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",88,64,77,6144,"63|63|63|63|63","1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4","",1,96,5,6144
"H602.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",44,60,72,6144,"63|63|63|63|63","1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4","",1,96,5,6144
"H602.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",88,55,65,6144,"63|63|63|63|63","1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4","",1,96,5,6144
"H602.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",56,41,58,6144,"63|63|63|63|63","1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4|1/4|4/4|3/4","",1,96,5,6144
"H158.mid",0,"",-1,,"",0,,,288,"80|80|80|80|80","3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4","",1,96,5,3321
"H158.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",32,63,75,3321,"80|80|80|80|80","3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4","",1,96,5,3321
"H158.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",34,58,65,3321,"80|80|80|80|80","3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4","",1,96,5,3321
"H158.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",32,53,60,3321,"80|80|80|80|80","3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4","",1,96,5,3321
"H158.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",33,43,56,3321,"80|80|80|80|80","3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4|3/4|4/4","",1,96,5,3321
"H99.mid",0,"",-1,,"",0,,,6816,"69|69|69|69|69","3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4","",1,96,5,7075
"H99.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",66,59,76,7075,"69|69|69|69|69","3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4","",1,96,5,7075
"H99.mid",2,"Alto",0,Acoustic Grand Piano,"Acoustic Grand Piano",66,59,69,7075,"69|69|69|69|69","3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4","",1,96,5,7075
"H99.mid",3,"T�nor",0,Acoustic Grand Piano,"Acoustic Grand Piano",69,52,59,7075,"69|69|69|69|69","3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4","",1,96,5,7075
"H99.mid",4,"Basse",0,Acoustic Grand Piano,"Acoustic Grand Piano",66,45,59,7075,"69|69|69|69|69","3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4|3/4|5/4|3/4","",1,96,5,7075
"H72.mid",0,"",-1,,"",0,,,4032,"69|69|69|69|69","6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4","",1,96,5,4766
"H72.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",60,62,76,4766,"69|69|69|69|69","6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4","",1,96,5,4766
"H72.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",61,59,67,4766,"69|69|69|69|69","6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4","",1,96,5,4766
